交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁1号线竹山路站
",27271元/m2,,/ 2002年建成,东山镇,江宁,https://nj.lianjia.com/xiaoqu/2511050946111/
"
近地铁3号线天元西路站
",29061元/m2,,/ 2002年建成,百家湖,江宁,https://nj.lianjia.com/xiaoqu/1411050277393/
"
近地铁1号线双龙大道站
",29488元/m2,,/ 2005年建成,岔路口,江宁,https://nj.lianjia.com/xiaoqu/1411099402978/
"
近地铁1号线双龙大道站
",25946元/m2,,/ 2000年建成,岔路口,江宁,https://nj.lianjia.com/xiaoqu/2511053997816/
"
近地铁1号线双龙大道站
",26808元/m2,,/ 2002年建成,岔路口,江宁,https://nj.lianjia.com/xiaoqu/1411041466211/
"
近地铁1号线竹山路站
",28270元/m2,,/ 2007年建成,科学园,江宁,https://nj.lianjia.com/xiaoqu/2511051356040/
"
",27181元/m2,,/ 2013年建成,麒麟镇,江宁,https://nj.lianjia.com/xiaoqu/1413059403297594/
"
近地铁3号线秣周东路站
",31307元/m2,,/ 2000年建成,江宁其它,江宁,https://nj.lianjia.com/xiaoqu/1411063827536/
"
",27810元/m2,,/ 2013年建成,麒麟镇,江宁,https://nj.lianjia.com/xiaoqu/1411062676229/
"
近地铁1号线双龙大道站
",25909元/m2,,/ 2003年建成,岔路口,江宁,https://nj.lianjia.com/xiaoqu/2511053037878/
"
近地铁3号线诚信大道站
",36224元/m2,,/ 2016年建成,九龙湖,江宁,https://nj.lianjia.com/xiaoqu/1411063996967/
"
近地铁3号线天润城站
",23471元/m2,,/ 2010年建成,桥北,浦口,https://nj.lianjia.com/xiaoqu/1411099898926/
"
近地铁3号线天润城站
",19712元/m2,,/ 2005年建成,桥北,浦口,https://nj.lianjia.com/xiaoqu/2511053237258/
"
近地铁3号线天润城站
",23162元/m2,,/ 2009年建成,桥北,浦口,https://nj.lianjia.com/xiaoqu/2511052774266/
"
近地铁3号线天润城站
",22579元/m2,,/ 2007年建成,桥北,浦口,https://nj.lianjia.com/xiaoqu/2511052832045/
"
近地铁s8号线高新开发区站
",21690元/m2,,/ 2010年建成,高新区,浦口,https://nj.lianjia.com/xiaoqu/146941581783739/
