交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁2号线中山公园站
",69732元/m2,,/ 1987年建成,中山公园,长宁,https://sh.lianjia.com/xiaoqu/5011000017095/
"
近地铁11号线(花桥-三林)隆德路站
",65382元/m2,,/ 1995年建成,中山公园,长宁,https://sh.lianjia.com/xiaoqu/5011000017969/
"
近地铁10号线(新江湾城-虹桥火车站)交通大学站
",89879元/m2,,/ 2003年建成,新华路,长宁,https://sh.lianjia.com/xiaoqu/5011000018108/
"
近地铁2号线娄山关路站
",66528元/m2,,/ 1990年建成,仙霞,长宁,https://sh.lianjia.com/xiaoqu/5011000012601/
"
近地铁9号线中春路站
",40278元/m2,,/ 1999年建成,九亭,松江,https://sh.lianjia.com/xiaoqu/5011000015174/
"
",46243元/m2,,/ 2007年建成,九亭,松江,https://sh.lianjia.com/xiaoqu/5011000014093/
"
近地铁9号线佘山站
",33702元/m2,,/ 2009年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011102207146/
"
近地铁9号线佘山站
",33289元/m2,,/ 2006年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5020029861847740/
"
",35520元/m2,,/ 2006年建成,九亭,松江,https://sh.lianjia.com/xiaoqu/5011000004375/
"
",30774元/m2,,/ 2012年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000020078/
"
近地铁9号线松江大学城站
",41698元/m2,,/ 2008年建成,松江大学城,松江,https://sh.lianjia.com/xiaoqu/5011000012581/
"
近地铁9号线泗泾站
",42773元/m2,,/ 2016年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5020038950910368/
"
近地铁9号线松江大学城站
",44265元/m2,,/ 2006年建成,松江大学城,松江,https://sh.lianjia.com/xiaoqu/5011000012033/
"
",38152元/m2,,/ 2007年建成,九亭,松江,https://sh.lianjia.com/xiaoqu/5011000013532/
"
近地铁9号线泗泾站
",26687元/m2,,/ 2014年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000019930/
"
近地铁9号线九亭站
",39192元/m2,,/ 2004年建成,九亭,松江,https://sh.lianjia.com/xiaoqu/5011000017413/
"
近地铁9号线泗泾站
",32061元/m2,,/ 2005年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000014037/
"
近地铁9号线九亭站
",52023元/m2,,/ 2008年建成,九亭,松江,https://sh.lianjia.com/xiaoqu/5011000012017/
"
",29381元/m2,,/ 2012年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000001067/
"
近地铁9号线泗泾站
",26916元/m2,,/ 2014年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000000965/
"
",27842元/m2,,/ 2014年建成,泗泾,松江,https://sh.lianjia.com/xiaoqu/5011000000510/
"
",38211元/m2,,/ 2003年建成,莘闵别墅,松江,https://sh.lianjia.com/xiaoqu/5011000004510/
